場所名稱,場所區域,場所地址,地點描述,LAT,LNG,緊急連絡電話,分機
高雄市三民區正興國民小學,64000050,大豐二路20號,第一棟校舍穿堂東側布告欄邊,22.645803,120.32692,(07)3845206,
高都汽車股份有限公司(北高雄),64000050,民族一路558號,放置於顧客休息室沙發區牆邊,22.657616,120.315962,(07)3850161,
健身工廠九如廠,64000050,慶雲街1號,2F教練部，入口第一根柱子,22.640574,120.314821,(07)3851818,
高雄市三民區民族國小,64000050,平等路197號,靠近健康中心入口處附近，距離操場不遠處。,22.640947,120.319519,(07)3860526,2
高雄市三民區光武國民小學,64000050,光武路35號,高雄市三民區光武國民小學一樓學生活動空間,22.638965,120.334913,(07)3867458,27
高雄市政府環境保護局中區資源回收廠,64000050,鼎金一巷15號,公營焚化廠主體廠房2樓中控室,22.66585,120.33126,(07)3909400,345
高雄市政府環境保護局中區資源回收廠,64000050,鼎金一巷15號,行政大樓1樓,22.66585,120.33126,(07)3909400,800
家福股份有限公司澄清分公司,64000050,澄清路635號,1F服務台旁邊,22.644035,120.346034,(07)39438589,
家樂福鼎山店,64000050,大順二路849號,設置在一樓商店街異人館前方,22.65323,120.318975,(07)3945588,
家樂福鼎山店,64000050,大順二路849號,結帳區8號機外柱子上,22.653121,120.318937,(07)3945588,850
慈濟高雄靜思堂,64000050,高雄市三民區河堤南路50號,進入大門後右轉即可於迴廊上見到AED,22.653618,120.31081,(07)3987916,
慈濟高雄靜思堂,64000050,河堤南路50號,大門入口右側法華坡道上至三樓講經堂,22.65393,120.310569,(07)3987916,
高雄市立鹽埕國民中學,64000010,新樂街46號,"校園正門直走
進學樓一樓靠近學務處外面",22.619795,120.280488,(07)5211283,
高雄市立鼓山高級中學,64000020,明德路2號,健康中心外,22.651951,120.274416,(07)5213258,
駁二藝術特區,64000010,大勇路1號,駁二藝術特區C5倉庫內服務台旁,22.619976,120.281658,(07)5214899,
交通部臺灣鐵路管理局高雄運務段美術館站,64000020,翠華路246號,售票口旁,22.652116,120.281496,(07)5215147,
交通部臺灣鐵路管理局高雄運務段鼓山站,64000020,鐵路街20巷6號,售票口旁,22.641833,120.280665,(07)5217014,
高雄市鼓山區鼓山國小,64000020,臨海二路50號,臨海二路右轉壽山街臨時警衛室,22.623488,120.271346,(07)5217795,180
內政部營建署壽山國家自然公園籌備處,64000020,萬壽路301號,壽山國家自然公園保育研究中心1樓,22.625964,120.272894,(07)5221010,
內政部營建署壽山國家自然公園籌備處,64000020,萬壽路301號,壽山國家自然公園籌備處行政中心1樓,22.625964,120.272892,(07)5221010,
國立中山大學,64000020,蓮海路70號,行政大樓位於校門口入口處約50公尺的大樓，AED放在1樓值班室櫃臺 前方的樓梯口旁,22.6257,120.265834,(07)5252000,
國立中山大學,64000020,蓮海路70號,此台AED位在文學院警衛室裡面，此地方也是學生等待校內公車的地點,22.628886,120.264062,(07)5252000,5981
國立中山大學,64000020,蓮海路70號,圖書館3樓右側,22.627237,120.265802,(07)5252000,2420
國立中山大學,64000020,蓮海路70號,體育館一樓大廳櫃臺旁,22.624731,120.266119,(07)5252000,2831
國立中山大學,64000020,蓮海路70號,武領宿舍服務中心門口旁,22.62886,120.264007,(07)5252000,5938
國立中山大學,64000020,蓮海路70號,翠亨宿舍服務中心內,22.628128,120.267913,(07)5252000,7200
國立中山大學,64000020,蓮海路70號,海洋科學院大樓1樓前庭走廊，在海科福利社門口 附近,22.62744,120.264201,(07)5252088,
財政部高雄市國稅局鼓山稽徵所,64000020,鼓山二路166號6樓,5樓公共區域,22.636793,120.281013,(07)525258,6612
高雄市漢王洲際飯店,64000010,七賢三路98號,飯店內1樓大廳開放式空間,22.622441,120.283001,(07)5313131,
欣高石油氣股份有限公司,64000010,大義街56號,前門出入口處旁,22.620568,120.285867,(07)5315701,
高雄市鼓山區衛生所,64000020,登山街16號,衛生所1樓大廳左側牆角,22.623534,120.274055,(07)5315753,
南部地區巡防局第五海岸巡防總隊鼓山服務區,64000020,鼓山一路107號,鼓山服務區入口處進去右側樓梯旁,22.627216,120.27854,(07)5319958,
高雄市立圖書館,64000090,新光路61號,B1F繪本中心服務台,22.611553,120.302449,(07)5360238,
高雄市立圖書館,64000090,新光路61號,3F進入圖書區入口處,22.611553,120.302449,(07)5360238,
高雄市立圖書館,64000090,新光路61號,4F服務櫃台旁,22.611553,120.302449,(07)5360238,
高雄市苓雅區衛生所,64000080,民權一路85號3樓,苓雅行政中心一樓,22.621759,120.312194,(07)5360559,
MLD台鋁(美食街),64000090,忠勤路8號,美食街(1F)手扶梯前,22.604338,120.303678,(07)5365388,
MLD台鋁(菜市場Fresh),64000090,忠勤路8號,1F門口過磅區服務台,22.604338,120.303678,(07)5365388,
MLD台鋁(晶綺盛宴),64000090,忠勤路8號,訂席中心門口右側,22.604338,120.303678,(07)5365388,
高雄市民權國小,64000090,沱江街200號,大門進來一樓玄關,22.608458,120.314381,(07)5367177,
家福股份有限公司成功分公司,64000090,中華五路1111號,3樓收銀線6號結帳機台外側柱子上(顧客休息區旁),22.604785,120.304056,(07)5369828,9
高雄百立皇冠大廈管理委員會,64000080,青年一路29號,大廈服務台右側交誼廳旁,22.623845,120.314562,(07)5376579,
宜家家居股份有限公司,64000090,中華五路1201號,1樓入口大廳柱子旁,22.606068,120.304383,(07)5377688,6108
福容大飯店股份有限公司高雄分公司,64000010,五福四路45號,飯店大廳櫃檯後方,22.621363,120.287711,(07)5511188,
旗鼓一號輪,64000020,濱海一路76號,旗鼓一號二樓客艙出入口,22.619776,120.269936,(07)5514316,
快樂輪,64000020,濱海一路76號,高雄市輪船公司快樂號二樓客艙救生衣櫃上方,22.619785,120.269943,(07)5514316,
旗鼓輪,64000020,濱海一路76號,二樓客艙出入口,22.619781,120.269942,(07)5514316,
高雄市輪船公司旗福一號,64000020,濱海二路1號,位於船舶駕駛室右側,22.62197,120.270275,(07)5514316,
幸福輪,64000020,濱海一路76號,高雄市輪船公司幸福輪二樓客艙救生衣櫃上方,22.619779,120.269949,(07)5514316,
健康輪,64000020,濱海一路76號,高雄市輪船公司健康號二樓客艙救生衣櫃上方,22.619776,120.269939,(07)5514316,
高雄市輪船公司平安輪,64000090,臨水南路2號(前鎮輪渡站),高雄市輪船公司平安輪二樓客艙出入口,22.587116,120.306268,(07)5514316,
高雄市輪船公司光榮輪,64000090,新光碼頭,高雄市輪船公司光榮輪客艙出入口,22.609433,120.296655,(07)5514316,
高雄市輪船公司真愛輪,64000090,新光碼頭,高雄市輪船公司真愛輪客艙出入口,22.60937,120.296653,(07)5514316,
鼓山輪渡站,64000020,濱海二路1號,乘客候船室出口右側,22.61965,120.270056,(07)5514316,
旗津輪渡站,64000100,海岸路10號,行人收費入口處左側,22.613867,120.268603,(07)5514316,
旗鼓二號輪,64000020,濱海一路76號,二樓客艙出入口,22.619779,120.269947,(07)5514656,
高雄市輪船公司旗福二號,64000020,濱海二路1號,船舶駕駛室內右側櫃子上,22.62197,120.270275,(07)5514656,
高雄市輪船公司高雄輪,64000090,新光碼頭,高雄市輪船公司高雄輪1樓客艙出入口,22.60894,120.296449,(07)5514656,
華王大飯店,64000010,五福四路42號,置於客用電梯斜對面,22.621673,120.287801,(07)5518211,7
高雄市立壽山國民中學,64000020,鼓山二路37巷108號,第一棟大樓穿堂,22.633012,120.278437,(07)5519150,
天主教明誠學校財團法人高雄市明誠高級中學,64000020,中華一路97號,"天主教明誠高級中學 國璽樓一樓
中庭左側牆邊",22.666326,120.292028,(07)5521593,
統一健身俱樂部-高雄巨蛋館,64000030,博愛二路757號1~4樓,室水溫水游泳池,22.668858,120.301301,(07)5523148,
統一健身俱樂部-高雄巨蛋館,64000030,博愛二路757號1~4樓,健身房,22.668709,120.301264,(07)5523148,
臺灣高等法院高雄分院,64000020,明誠三路586號,五樓東側電梯旁安全門邊,22.66137,120.299085,(07)5523621,153
臺灣高等法院高雄分院,64000020,明誠三路586號,本院法警室(二)為法警辦公及值日處所，全天均有值班人員,22.66137,120.299085,(07)5523621,153
臺灣高等法院高雄分院,64000020,明誠三路586號,三樓東側電梯旁安全門邊,22.66137,120.299085,(07)5523621,153
裕昌汽車股份有限公司博愛分公司,64000020,博愛二路361號,展示區飲水機旁,22.664157,120.303021,(07)5525432,
高雄市立三民高級家事商業職業學校,64000030,裕誠路1102號,進校門口玄關右側,22.666309,120.301484,(07)5536830,
水京棧國際酒店(股)公司,64000020,明華路366號,一樓 服務中心櫃檯旁,22.656975,120.311721,(07)5539907,3116
高雄市立美術館,64000020,美術館路80號,高美館雕塑大廳入口處右側,22.656697,120.286551,(07)5550331,235
高雄市立兒童美術館,64000020,馬卡道路330號,兒美館入口處服務台旁,22.657671,120.28303,(07)5550331,311
高雄市鼓山區龍華國民小學,64000020,大順一路858號,於正門進入後直視可見到辦公室，AED置於大辦公室門旁,22.655298,120.298618,(07)5553086,"31,32"
中國人壽,64000020,明誠四路156號,管理中心服務櫃檯,22.66164,120.289293,(07)5555049,
漢來美食股份有限公司-巨蛋分公司,64000030,博愛二路767號,漢來美食巨蛋會館  9樓宴會廳,22.669195,120.302605,(07)5559118,8003
高雄市立七賢國民中學,64000020,美術東三路110號,學務處外公佈欄,22.657655,120.289404,(07)5559329,
崇神開發實業股份有限公司高雄分公司,64000030,博愛二路777號,1F諮詢台旁,22.669056,120.302685,(07)5559688,3166
新上國民小學,64000030,大順一路100號,AED放置於新上國小電梯旁,22.656461,120.310963,(07)5565940,
FUNS放肆運動,64000030,富民路452號,大門入口右前方(洽櫃台人員),22.667195,120.305643,(07)5566767,
香港商世界健身事業有限公司高雄博愛分公司,64000030,博愛二路320號一樓,大門客服櫃檯前,22.663764,120.303662,(07)5568822,
SuperFIT極度塑身 私人教練會館(高雄左營博愛館),64000030,博愛三路312號,一樓櫃台前方,22.675997,120.305985,(07)5569267,
高雄市私立大榮高級中學,64000020,大榮街1號,大門進入約30公尺，合成大樓1樓走廊,22.653052,120.280265,(07)5613281,
高雄翰品酒店,64000010,大仁路43號,一樓大廳大門口旁,22.624814,120.285633,(07)5614688,
臺灣港務股份有限公司第三辦公廳,64000020,麗興里蓬萊路10號,臺灣港務公司總公司員工第三辦公場所,22.616883,120.283841,(07)5622127,
高雄港務分公司棧埠處辦公室,64000020,蓬萊路10號,高雄港務分公司棧埠事業處辦公室1F大廳,22.616883,120.283841,(07)5622211,
高雄港台華輪旅客通關候船室,64000020,鼓山一路2號,高雄港台華輪旅客通關候船室,22.619446,120.27431,(07)5622252,91
高雄港務分公司西子灣洞口前辦公室第一辦公大樓,64000020,臨海二路62號,高雄港務分公司第一辦公大樓1F,22.624388,120.269849,(07)5622487,
高雄港務分公司棧埠處121碼頭3F辦公室,64000100,旗津一路67號,121碼頭辦公室,22.56744,120.300776,(07)5622908,
旗津海水浴場,64000100,永安里廟前路1號,辦公室外騎樓,22.611495,120.266047,(07)5710811,
高雄市中洲國小,64000100,805高雄市旗津區旗津二路275號,學校中庭,22.614177,120.265939,(07)5712225,
國立高雄科技大學(旗津校區),64000100,中洲三路482號,國立高雄科技大學(旗津校區)游泳池女生淋浴間外走道右側,22.608746,120.272169,(07)5714279,
旗津老人活動中心,64000100,旗津3路900巷33號,位在小巷弄內，離斗六冰城很近,22.606252,120.272908,(07)5720005,
再見捌捌陸-臺灣眷村文化園區,64000030,明德新村10號,園區售票口內,22.692802,120.289054,(07)5812886,
海軍軍官學校,64000030,台灣高雄市左營區軍校路669號,配合軍區緊急救護使用，平時不對外開放,22.70575,120.290551,(07)5813141,
海軍軍官學校,64000030,軍校路669號,醫務所,22.70577,120.290551,(07)5813141,
高雄市左營區衛生所,64000030,進學路4號,衛生所一樓服務台後方,22.687736,120.291652,(07)5817191,
高雄市左營區左營國民小學,64000030,實踐路42號,"進入校門直走
玄關左側
公共電話旁",22.690802,120.293247,(07)5820042,
市立左營高級中學,64000030,海功路55號,校門口左方傳達室內左方牆上,22.693416,120.296159,(07)5822010,305
高雄市左營區永清國民小學,64000030,左營大路2-2號,辦公室前走廊外牆上,22.674689,120.28686,(07)5822830,
高雄市鼓山區中山國民小學,64000020,雄峰路18號,雄峰路第一棟忠孝樓1樓川堂左側,22.669095,120.28504,(07)5827585,
高雄國家體育場(世運主場館),64000030,左營大道100號,A車道車輛出入口(地下2樓),22.702475,120.294717,(07)5829000,6500
崇實自助里活動中心,64000030,先鋒路293號,崇實自助里活動中心一樓玄關，里長辦公室旁,22.678438,120.282416,(07)5831111,38
左營老人活動中心,64000030,蓮潭路30號,左營老人活動中心一樓，行政辦公室側門外，一樓連接二樓之無障礙坡道旁,22.68195,120.292127,(07)5831111,58
高雄市左營區屏山國民小學,64000030,海功東路2號,屏山國小1樓天鵝穿堂,22.687736,120.291652,(07)5834501,121
環球購物中心-新左營車站(冠友生活股份有限公司),64000030,站前北路1號,環球購物中心 3F服務台右側柱面處,22.687716,120.307409,(07)5859999,1111
Curves可爾姿高雄瑞豐店,64000020,文忠路86號2樓,入口進來後右轉再右轉,22.665295,120.297841,(07)5867855,
高雄市政府觀光局蓮池潭管理站,64000030,翠華路1915號,蓮池潭管理站辦公室大門進去牆面中央,22.68737,120.301476,(07)5883242,
交通部臺灣鐵路管理局高雄運務段內惟站,64000030,翠華路500號地下１層,內惟站地下1層大廳剪票口旁,22.666135,120.287161,(07)5886119,
交通部臺灣鐵路管理局高雄運務段左營(舊城)站,64000030,翠華路1050號地下1層,車站大廳剪票口旁,22.675323,120.295229,(07)5887835,
家福股份有限公司楠梓分公司,64000040,藍田路288號,1F商店街入口柱面,22.727637,120.290835,(07)5911899,
家福股份有限公司楠梓分公司,64000040,藍田路288號,收銀線一號機台柱面,22.727637,120.290835,(07)5911899,
國立高雄大學,64000040,高雄大學路700號,國立高雄大學工學院(工學院大門口左側土銀提款機旁),22.732375,120.276439,(07)5919063,
國立高雄大學,64000040,高雄大學路700號,國立高雄大學學一宿舍OB棟西側門進入左側第一間寢室門口(OB113室門口),22.73553,120.278194,(07)5919063,
國立高雄大學,64000040,高雄大學路700號,國立高雄大學運動健康與休閒大樓(大門口),22.734315,120.277872,(07)5919380,
國立高雄科技大學(第一校區),64000210,大學路1號,學生活動中心1F(靠近資源教室入口處),22.754689,120.335108,(07)6011000,31252
國立高雄科技大學(第一校區),64000210,大學路1號,行政大樓1F,22.760713,120.336382,(07)6011000,31252
國立高雄科技大學(第一校區),64000210,大學路1號,樂群樓(女生宿舍)1F走道,22.752082,120.32969,(07)6011000,31273
國立高雄科技大學(第一校區),64000210,大學路1號,敬業樓A棟管理員室前,22.755861,120.332007,(07)6011000,31276
國立高雄科技大學(第一校區),64000210,大學路1號,西校區游泳池1F服務櫃檯旁,22.754432,120.33123,(07)6011000,38161
交通部臺灣鐵路管理局高雄運務段路竹站,64000240,中正路288號,候車室大廳自動售票機旁,22.854011,120.266202,(07)6072723,
高雄市路竹區蔡文國民小學,64000240,國昌路548號,設置於蔡文國小警衛室外牆,22.861797,120.257318,(07)607626,
高苑科技大學,64000240,中山路1821號,生化大樓一樓電梯旁,22.842329,120.266921,(07)6077777,
高苑科技大學,64000240,中山路1821號,機電大樓二樓軍訓室,22.841657,120.267409,(07)6077807,
高苑科技大學,64000240,中山路1821號,體育館,22.839176,120.267962,(07)6077807,
高苑科技大學,64000240,中山路1821號,第三學生宿舍二樓舍監辦公室前庭,22.840896,120.268176,(07)6077807,
高苑科技大學,64000240,中山路1821號,行政大樓一樓,22.84058,120.266465,(07)6077807,
臺灣橋頭地方法院,64000200,經武路911號,位於臺灣橋頭地方法院1樓聯合服務中心入門後右側牆面上,22.738454,120.304909,(07)6110030,
臺灣橋頭地方法院,64000200,經武路911號,位於臺灣橋頭地方法院2樓羈押室管理員值班台右後方牆面,22.738454,120.304909,(07)6110030,
臺灣橋頭地方法院,64000200,經武路911號,位於臺灣橋頭地方法院3樓法庭區民眾專用電梯出口對面牆上,22.738454,120.304909,(07)6110030,
高雄市橋頭區公所,64000200,隆豐路1號,區公所1樓大門入口右側,22.757593,120.305808,(07)6110246,
高雄市私立高苑工商職業學校,64000200,東林里芋林路1號,位於本校入大門左邊大樓1樓後半段的教官室,22.76542,120.282103,(07)6111101,186
高雄市橋頭區衛生所,64000200,隆豐路5號,(衛生所入口)掛號室前,22.757178,120.305253,(07)6112203,
台灣糖業股份有限公司高雄區處,64000200,糖廠路24號,位於糖業博物館出入口，遊客進出明顯易見,22.755703,120.314294,(07)6113221,
高雄市立橋頭國民中學,64000200,新興路70號,南棟行政大樓1樓穿堂,22.727732,120.344004,(07)6113559,
交通部台灣鐵路管理局高雄運務段橋頭火車站,64000200,站前街14號,行車室門口旁邊,22.761044,120.310204,(07)6115424,
台灣糖業股份有限公司高雄區處,64000200,糖廠路24號,雙人型機車庫與農機具展示場旁的醫護室,22.756038,120.313894,(07)6119299,214
台灣糖業股份有限公司高雄區處花卉農園中心,64000200,創新路93號,台糖高雄花卉農園中心大門進去左前側之遊客服務中心內,22.741218,120.324905,(07)6128473,
高雄市殯葬管理處第二殯儀館橋頭分館,64000200,白樹里甲樹路170號,行政中心,22.758366,120.297282,(07)6128891,
義守大學,64000210,角宿里義大路8號,義守大學醫學院區教學大樓B棟1樓門口進入後左側柱子。,22.763286,120.362397,(07)6151100,3224
義守大學,64000210,角宿里義大路8號,義守大學醫學院區宿舍管站面對大廳櫃台左側,22.763118,120.362901,(07)6151100,3224
法務部矯正署高雄戒治所,64000210,正德新村5號,行政大樓1樓總務科外走廊,22.78237,120.378138,(07)6151102,
法務部矯正署高雄戒治所,64000210,正德新村5號,接見室等候區前方處,22.78237,120.378138,(07)6154131,
濟興長青園老人長期照顧中心,64000210,橫山路72號,"濟興長青園老人長期照顧中心2樓交誼大廳,從1樓搭乘電梯上樓後,就可以清楚看到AED擺放位置.",22.766815,120.376769,(07)6155548,
樹德科技大學,64000210,橫山路59號,體適能中心大門入口,22.762653,120.376623,(07)6158000,2213
樹德科技大學,64000210,橫山路59號,北校區籃球場旁,22.763574,120.3712,(07)6158000,2213
樹德科技大學,64000210,橫山路59號,行政大禮堂入口,22.761896,120.375309,(07)6158000,2213
樹德科技大學,64000210,橫山路59號,大廳正入口處,22.759675,120.375711,(07)6158024,
樹德科技大學,64000210,橫山路59號,健康促進中心閱覽區牆壁上,22.761001,120.376875,(07)6158024,
樹德科技大學,64000210,橫山路59號,女生宿舍一樓大廳,22.762084,120.376575,(07)6158024,
樹德科技大學,64000210,橫山路59號,一樓入口處,22.764241,120.376838,(07)6158024,
樹德科技大學,64000210,橫山路59號,一樓大廳,22.762104,120.3751,(07)6158024,
高雄市燕巢區衛生所,64000210,南燕里中興路2號,一樓候診室，飲水機旁,22.787886,120.362604,(07)6161148,
高雄市立燕巢國中,64000210,中興路267號,健康中心門旁,22.786332,120.362493,(07)6161267,28
高雄市燕巢國小,64000210,高雄市燕巢區東燕里中華路177號,燕巢國小中央川堂右側,22.795596,120.365897,(07)6161495,130
經濟部水利署南區水資源局阿公店水庫管理中心,64000210,工程路1號,經濟部水利署南區水資源局燕巢辦公區大門警衛室內右方,22.800246,120.360519,(07)6165641,3128
高雄市立梓官國民中學,64000290,中學路71號,一棟總務處前、二棟健康中心前,22.763249,120.264034,(07)6172854,
高雄市彌陀區衛生所,64000280,中華路一巷五弄一號,彌陀衛生所大門進入右手邊,22.790727,120.289108,(07)6175307,
高雄市彌陀區彌陀國民小學,64000280,中正路213號,活動中心門口,22.783392,120.248313,(07)6176300,
高雄市梓官區梓官國小,64000290,進學路61號,校門口進來第一棟右邊走廊,22.74861,120.257042,(07)6176595,
高雄市梓官區衛生所,64000290,公館路45號,"高雄市梓官區衛生所1樓大門入口處右邊,藥局旁",22.74861,120.257042,(07)6177331,
高雄市立彌陀國中,64000280,進學路136號,"大門進入彌陀國中後,右手邊健康中心室內牆面上.",22.773069,120.245974,(07)6178424,28
高雄市岡山區衛生所,64000190,公園路50號,服務台後方,22.79612,120.29101,(07)6212015,
高雄市政府警察局岡山分局壽天派所,64000190,大仁北路5號,放置於派出所大門口,22.802662,120.301756,(07)6212025,
國立岡山高級中學,64000190,壽天里公園路52號,校門口傳達室,22.797508,120.290446,(07)62120333,21
國立岡山高級中學,64000190,壽天里公園路52號,"體育館大門入口處
傳達室",22.796543,120.289698,(07)62120333,21
北高雄家扶中心岡山區,64000190,竹圍東街182巷12號,一樓大門口旁,22.798815,120.30369,(07)6213993,218
國立岡山農工職業學校,64000190,岡山路533號,行政大樓1樓穿堂左側,22.801454,120.288373,(07)6217129,
國立岡山農工職業學校,64000190,岡山路533號,教官室內校安中心,22.802797,120.290168,(07)6217129,282
國立岡山農工職業學校,64000190,岡山路533號,司令台後方處,22.801454,120.288373,(07)6217131,
裕昌汽車股份有限公司岡山分公司,64000190,岡山北路2-1號,新車展示區右側,22.806022,120.287676,(07)6217166,
萬通人力住宿服務中心岡山館,64000190,本洲三街22巷17號,宿舍辦公室外走廊，近公佈欄及入口處。,22.812923,120.260256,(07)6218913,
高雄市立嘉興國民中學,64000190,嘉興里信中街486號,由校門進入後第一棟一樓玄關右側,22.816425,120.311845,(07)6221039,21
台灣善美的股份有限公司岡山廠,64000190,本洲里本工東一路6號,3樓辦公室外通道,22.807754,120.274036,(07)6227863,
健身工廠岡山廠,64000190,岡山路434號3樓,從入口進入後，位於左面，置於會員服務部外，於教練部櫃檯前方。,22.796275,120.295785,(07)6229000,
全聯岡山物流園區-弘達流通股份有限公司,64000190,本工東一路6號,A棟1樓大門入口處,22.80768,120.273998,(07)6235657,7731
高雄市壽天國民小學,64000190,公園東路55號,壽天國小穿堂的牆面上,22.799304,120.29224,(07)6246040,831或832
香港商世界健身事業有限公司岡山分公司,64000190,民有路68號5樓,業務辦公室門口旁,22.79214,120.296398,(07)6249000,
臺灣橋頭地方法院岡山簡易庭,64000190,岡山南路57號,岡山簡易庭進入後，左前方電梯口旁。,22.782713,120.296437,(07)6250875,
高雄市桃源區衛生所,64000370,桃源里188-1號,衛生所1樓門診等候區與急診區中間位置,23.226519,120.850639,(07)6261126,
南部地區巡防局訓練大隊,64000190,劉厝里1鄰岡山南路3巷1號,行政大樓一樓中廊西側牆面之公佈欄左側,22.775536,120.297976,(07)6261439,76
和春護理之家日間照顧中心,64000190,中山南路268號,日間照顧中心,22.782552,120.299762,(07)6265580,
空軍航空技術學院,64000190,介壽西路198號,配合軍區緊急救護使用，平時不對外開放,22.785731,120.278255,(07)6266093,
群創光電股份有限公司F廠,64000240,科十路11號,一樓收發室櫃台旁,22.838624,120.24989,(07)6278888,"8,121,881,219"
崗山之眼園區,64000190,崗山之眼,崗山之眼售票亭,22.814039,120.337275,(07)6282100,
高雄市阿蓮區衛生所,64000230,高雄市阿蓮區民生路94-1號,1樓入口處,22.882845,120.327465,(07)6317141,
高雄市田寮區衛生所,64000220,南安里崗北路32號,高雄市田寮區衛生所1樓門診候診區,22.873014,120.36014,(07)6361504,
花季渡假飯店,64000220,崗北路111號,住宿大廳一樓櫃台旁,22.874985,120.357657,(07)6381007,4711
花季渡假飯店,64000220,崗北路111號,泡湯區一樓大廳電梯旁,22.874985,120.357657,(07)6381007,4711
高雄市田寮區新興國小,64000220,新興里大新路2號,操場旁健康中心前,22.834852,120.370438,(07)6381348,
高雄市立林園高級中學,64000130,林園北路481號,林園高中和平樓1樓健康中心內,22.513697,120.394551,(07)6412059,
高雄市林園區港埔國小,64000130,頂厝里校前路1號,一樓穿堂,22.504198,120.378827,(07)6412282,
高雄市林園區中芸國小,64000130,中芸里中芸路1號,校門口進入左側直走進行政大樓一樓穿堂,22.487073,120.396673,(07)6412342,15
高雄市林園區衛生所,64000130,林園北路186號,1樓大門口右旁,22.507599,120.394917,(07)6412404,
李長榮化學工業股份有限公司林園廠,64000130,石化三路11號,大門口進入二道門(柵門)警衛室旁休息區,22.487819,120.408475,(07)6419966,
高雄市林園區王公國小,64000130,王公二路100號,德樓一樓健康中心旁邊,22.505714,120.388682,(07)6420503,
中芸國民中學,64000130,中芸路3-100號,一樓穿堂,22.486111,120.395372,(07)6425223,30
上益營造大泉伏流水工務所,64000150,高屏溪高雄市大樹區大庄段R169-0000地號,高屏溪高屏堰管理中心附近工務所水防道路旁河川公地,22.690962,120.438543,(07)6510080,
交通部台灣鐵路管理局高雄運務段九曲堂站,64000150,久堂路鐵路巷15號,九曲堂站候車室,22.656448,120.420951,(07)6512020,
高雄市大樹區衛生所,64000150,檨腳里中興北路120號,高雄市大樹區衛生所1樓門診大廳,22.693476,120.432831,(07)6512935,
高雄市大樹區大樹國小,64000150,中正一路249號,穿堂牆壁上,22.687797,120.43461,(07)6513752,
佛光山普門高中,64000150,大坑路140-11號,教學區國中部一樓行政辦公室走廊,22.716706,120.446457,(07)6562676,
信誼育樂事業股份有限公司,64000150,統嶺里信誼路1號(信誼高爾夫球場),會館大廳左側，ATM提款機旁,22.765747,120.419123,(07)6565280,
大安金企業股份有限公司(麒麟寶塔 金龍寶塔),64000150,三和里三和路131之18號,金龍廳左轉,22.72906,120.421811,(07)6566468,
義大遊樂世界,64000150,三和村11鄰學城路一段10號,義大遊樂世界B區1樓糖果屋內的甜蜜滿屋旁,22.708371,120.42424,(07)6568080,2424
義大世界購物廣場,64000150,三和里學城路一段12號,A區LB服務台旁架設AED，服務台右側靠牆處,22.730388,120.402402,(07)6568100,3220
義大世界購物廣場,64000150,學城路一段65號,義大時尚街-JUCY JUDY櫃位內,22.729529,120.403414,(07)6568100,3220
義大世界購物廣場,64000150,三和里學城路一段12號,南極星滑冰場旁，救護站前,23.010871,120.666004,(07)6568100,3713
義大遊樂世界,64000150,學城路一段10號,C區特路依城堡2樓救護站或遊客服務中心旁,22.729667,120.406958,(07)6568100,3713
義大世界購物廣場,64000150,三和里學城路一段12號,B區B1樓康是美前的手扶梯旁架設AED,23.011186,120.665481,(07)6568100,3713
義大遊樂世界,64000150,學城路一段10號,A區大衛城1樓旁有4D身歷奇境遊具,22.730219,120.407184,(07)6568100,3713
天悅大酒店股份有限公司,64000150,大樹區義大八街100號,B1醫護室,22.730514,120.401482,(07)6568282,10
高雄市私立義大國際高級中學,64000150,學城路一段六號,大門進入後直走，在健康中心前方的迴廊(左側靠牆),22.728428,120.4055,(07)6577115,
義守大學,64000150,學城路一段1號,義守大學校本部行政大樓3樓穿堂(土銀提款機前面),22.724603,120.407131,(07)6577711,2243
義守大學,64000150,學城路一段1號,義守大學校本部男一宿宿舍管理站入口處右側牆壁上,22.724252,120.405012,(07)6577711,2243
高雄市內門區溝坪國民小學,64000350,溝坪里廣福47號,前棟建築物1樓辦公室走廊,22.993387,120.501236,(07)6601788,
高雄市旗山區衛生所,64000300,中正路197號,高雄市旗山區衛生所門診右側,22.890347,120.482024,(07)6612054,
台灣糖業股份有限公司高雄區處旗山糖廠,64000300,忠孝街33號,位於旗山糖廠冰店(販賣部)出口明顯易見處,22.881622,120.491685,(07)6613265,
裕昌汽車股份有限公司旗山分公司,64000300,旗南一路375-23號,展示區,22.864988,120.471179,(07)6613758,
衛生福利部旗山醫院,64000300,大德里中學路60號,旗山醫院地下一樓復健科櫃檯旁,22.880796,120.483264,(07)6613811,1013
臺灣橋頭地方法院旗山簡易庭,64000300,民生二街33號,"旗山簡易庭進入左側
法警室門旁",22.894199,120.48226,(07)6622045,
高雄市政府警察局旗山分局,64000300,華中街1號,值班台右前方,22.887941,120.483127,(07)6622065,
北高雄家扶中心旗山服務處,64000300,中正路675號,電梯口旁,22.897718,120.481358,(07)6625104,
高雄市立旗山國民中學,64000300,中學路42號,育英樓中央穿堂,22.870249,120.470326,(07)6625450,
旗山生活文化園區(舊鼓山國小),64000300,文中路7號,旅遊資訊中心內部左側靠牆處,22.890322,120.480352,(07)6628868,
高雄市立大洲國民中學,64000300,新南巷5號,安全放置，明顯位置,22.835784,120.460483,(07)6661378,
